Provinsi/Kabupaten/Kota/Indonesia,,
,Indeks Pembangunan Manusia (IPM) menurut Jenis Kelamin ,
,Laki-laki,Perempuan
Seram Bagian Timur,74.97,67.07
Maluku Barat Daya,72.58,65.98
Buru Selatan,75.38,65.93
Kota Ambon,85.26,83.84
Kota Tual,77.54,68.99
MALUKU UTARA,77.11,70.26
Halmahera Barat,74.35,66.61
Halmahera Tengah,75.57,68.6
Kepulauan Sula,72.7,68.03
Halmahera Selatan,74.15,65.19
Halmahera Utara,76.25,69.32
Halmahera Timur,76.59,63.6
Pulau Morotai,73.72,53.79
Pulau Taliabu,71.57,61.08
Kota Ternate,86.35,80.12
Kota Tidore Kepulauan,76.83,74.53
PAPUA BARAT,75.44,62.52
Fakfak,78.2,66.76
Kaimana,75.24,64.26
Teluk Wondama,72.55,58.75
Teluk Bintuni,75.52,65.77
Manokwari,82.84,70.97
Sorong Selatan,-,-
Sorong,-,-
Raja Ampat,-,-
Tambrauw,-,-
Maybrat,-,-
Manokwari Selatan,72.31,50.54
Pegunungan Arfak,67.13,54.45
Kota Sorong,-,-
PAPUA BARAT DAYA,77.1,65.2
Raja Ampat,73.14,58.36
Sorong,75.47,65.83
Sorong Selatan,71.21,60.14
Maybrat,70.35,56.29
Tambrauw,68.19,49.36
Kota Sorong,84.89,78.54
PAPUA,78.64,71.31
Merauke,-,-
Jayawijaya,-,-
Jayapura,80.21,73.8
Nabire,-,-
Kepulauan Yapen,75.83,68.56
Biak Numfor,79.98,73.14
Paniai,-,-
Puncak Jaya,-,-
Mimika,-,-
Boven Digoel,-,-
Mappi,-,-
Asmat,-,-
Yahukimo,-,-
Pegunungan Bintang,-,-
Tolikara,-,-
Sarmi,74.11,62.87
Keerom,75.07,66.56
Waropen,74.71,54.53
Supiori,73.12,57.99
Mamberamo Raya,65.68,55.35
Nduga,-,-
Lanny Jaya,-,-
Mamberamo Tengah,-,-
Yalimo,-,-
Puncak,-,-
Dogiyai,-,-
Intan Jaya,-,-
Deiyai,-,-
Kota Jayapura,85.1,80.9
PAPUA SELATAN,74.8,62.95
Merauke,79.94,71.94
Boven Digoel,73.72,60.04
Mappi,67.78,58.56
Asmat,65.14,39.42
PAPUA TENGAH,65.45,53.79
Mimika,82.36,65.28
Dogiyai,62.37,51.48
Deiyai,59.02,43.07
Nabire,78,71.45
Paniai,65.52,46.61
Intan Jaya,58.28,43.41
Puncak,47.88,41.71
Puncak Jaya,59.03,42.09
PAPUA PEGUNUNGAN,59.65,52.39
Nduga,43.65,40.2
Jayawijaya,69.41,60.53
Lanny Jaya,55.24,52.24
Tolikara,60.38,38.75
Mamberamo Tengah,56.99,51.63
Yalimo,60.19,52.04
Yahukimo,61.18,47.18
Pegunungan Bintang,57.26,47.67
INDONESIA,79.26,
