Tahun,Provinsi,APM_SD,APM_SMP,APM_SMA,IPM_Laki_Laki,IPM_Perempuan,PPK,PSN (Stunting),RLS
2010,Sulawesi Tengah,93.54,60.83,40.23,,,,,7.65
2010,Sulawesi Tenggara,95.06,67.14,48.54,,,,,7.57
2010,Sulawesi Utara,92.25,67.07,50.7,,,,,8.66
2010,Sumatera Barat,95.51,68.22,55.06,,,,,8.13
2010,Sumatera Selatan,94.17,66.27,43.49,,,,,7.34
2010,Sumatera Utara,95.33,74.76,55.72,,,,,8.51
2011,Aceh,92.51,74.87,61.37,,,,,8.32
2011,Bali,90.08,69.53,59.48,,,,,7.77
2011,Banten,92.41,71.01,46.24,,,,,7.95
2011,Bengkulu,92.6,68.81,50.78,,,,,7.93
2011,Daerah Istimewa Yogyakarta,92.04,69.48,59.25,,,,,8.53
2011,Daerah Khusus Jakarta,90.26,69.66,49.91,,,,,10.4
2011,Gorontalo,90.03,60.43,44.46,,,,,6.89
2011,Jambi,92.36,67.43,49.46,,,,,7.48
2011,Jawa Barat,92.26,69.89,42.45,,,,,7.46
2011,Jawa Tengah,90.2,69.92,47.17,,,,,6.74
2011,Jawa Timur,91.9,71.78,49.29,,,,,6.79
2011,Kalimantan Barat,92.3,59.05,36.86,,,,,6.32
2011,Kalimantan Selatan,92.24,66.35,43.36,,,,,7.37
2011,Kalimantan Tengah,92.15,66.62,44.99,,,,,7.68
2011,Kalimantan Timur,92.29,72.5,55.52,,,,,8.79
2011,Kalimantan Utara,92.8,68.47,55.97,,,,,7.92
2011,Kepulauan Bangka Belitung,90.92,60.85,41.92,,,,,7.19
2011,Kepulauan Riau,92.24,74.29,56.85,,,,,9.46
2011,Lampung,91.63,67.06,46.05,,,,,7.28
2011,Maluku,88.38,63.19,52.78,,,,,8.72
2011,Maluku Utara,89.83,65.99,52.36,,,,,7.98
2011,Nusa Tenggara Barat,92.61,76.56,53.41,,,,,6.07
2011,Nusa Tenggara Timur,91.97,56.51,40.33,,,,,6.6
2011,Papua,69.6,44.44,30.82,,,,,5.6
2011,Papua Barat,87.77,56.68,48.33,,,,,6.82
2011,Papua Barat Daya,89.96,62.11,41.55,,,,,6.78
2011,Papua Pegunungan,70.6,43.14,22.71,,,,,2.6
2011,Papua Selatan,83.39,44.7,28.32,,,,,6.77
2011,Papua Tengah,68.3,41.31,18.43,,,,,4.51
2011,Riau,91.63,66.26,53.31,,,,,8.29
2011,Sulawesi Barat,89.18,62.76,48.41,,,,,6.65
2011,Sulawesi Selatan,89.48,65.87,48.17,,,,,7.33
2011,Sulawesi Tengah,90.08,62.99,48.5,,,,,7.69
2011,Sulawesi Tenggara,88.55,64.22,51.32,,,,,7.67
2011,Sulawesi Utara,85.88,60.94,50.15,,,,,8.68
2011,Sumatera Barat,93.44,67.77,54.78,,,,,8.2
2011,Sumatera Selatan,89.57,64.74,45.79,,,,,7.42
2011,Sumatera Utara,91.61,68.08,57.48,,,,,8.61
2012,Aceh,94.66,78.61,61.82,,,,,8.36
2012,Bali,91.01,74.46,63.55,,,,,8.05
2012,Banten,93.67,73.79,53.0,,,,,8.06
2012,Bengkulu,94.1,71.97,50.83,,,,,8.01
2012,Daerah Istimewa Yogyakarta,96.11,72.44,63.54,,,,,8.63
2012,Daerah Khusus Jakarta,90.48,70.31,54.25,,,,,10.43
2012,Gorontalo,92.0,60.48,45.47,,,,,6.92
2012,Jambi,94.1,69.56,46.09,,,,,7.69
2012,Jawa Barat,93.41,73.54,51.24,,,,,7.52
2012,Jawa Tengah,92.05,72.52,51.11,,,,,6.77
2012,Jawa Timur,92.93,74.42,52.36,,,,,6.85
2012,Kalimantan Barat,92.93,59.72,37.44,,,,,6.62
2012,Kalimantan Selatan,93.16,66.94,49.39,,,,,7.48
2012,Kalimantan Tengah,96.03,65.11,43.55,,,,,7.73
2012,Kalimantan Timur,94.06,74.12,60.34,,,,,8.83
2012,Kalimantan Utara,93.1,69.4,57.19,,,,,8.03
2012,Kepulauan Bangka Belitung,94.12,63.28,42.93,,,,,7.25
2012,Kepulauan Riau,94.5,78.67,63.53,,,,,9.58
2012,Lampung,93.5,72.08,46.14,,,,,7.3
2012,Maluku,90.05,66.03,50.2,,,,,8.8
2012,Maluku Utara,92.59,64.43,56.76,,,,,8.04
2012,Nusa Tenggara Barat,93.61,77.44,53.81,,,,,6.33
2012,Nusa Tenggara Timur,92.16,55.83,38.19,,,,,6.71
2012,Papua,70.78,43.61,29.16,,,,,5.73
2012,Papua Barat,88.84,57.9,44.98,,,,,6.87
2012,Papua Barat Daya,90.26,63.04,42.77,,,,,6.91
2012,Papua Pegunungan,70.9,44.07,23.93,,,,,2.73
2012,Papua Selatan,83.69,45.63,29.54,,,,,6.9
2012,Papua Tengah,68.6,42.24,19.65,,,,,4.64
2012,Riau,92.62,70.18,53.06,,,,,8.34
2012,Sulawesi Barat,91.29,61.75,44.54,,,,,6.76
2012,Sulawesi Selatan,90.61,69.68,54.2,,,,,7.37
2012,Sulawesi Tengah,90.79,62.36,52.25,,,,,7.73
2012,Sulawesi Tenggara,92.54,68.84,50.67,,,,,7.76
2012,Sulawesi Utara,87.78,62.39,51.15,,,,,8.71
2012,Sumatera Barat,95.77,70.08,55.68,,,,,8.27
2012,Sumatera Selatan,92.79,67.94,49.34,,,,,7.5
2012,Sumatera Utara,93.35,70.57,60.29,,,,,8.72
2013,Aceh,97.09,82.57,63.43,,,,,8.44
2013,Bali,94.11,80.69,67.04,,,,,8.1
2013,Banten,96.24,78.17,53.28,,,,,8.17
2013,Bengkulu,97.37,73.07,60.32,,,,,8.09
2013,Daerah Istimewa Yogyakarta,98.75,75.64,64.86,,,,,8.72
2013,Daerah Khusus Jakarta,96.07,75.46,55.4,,,,,10.47
2013,Gorontalo,95.93,64.26,48.91,,,,,6.96
2013,Jambi,96.43,73.23,52.13,,,,,7.8
2013,Jawa Barat,97.08,76.76,52.25,,,,,7.58
2013,Jawa Tengah,95.68,74.94,51.81,,,,,6.8
2013,Jawa Timur,96.1,77.36,53.3,,,,,6.9
2013,Kalimantan Barat,94.39,59.53,44.79,,,,,6.69
2013,Kalimantan Selatan,96.74,69.57,50.05,,,,,7.59
2013,Kalimantan Tengah,97.41,68.15,45.43,,,,,7.79
2013,Kalimantan Timur,95.76,75.79,62.91,,,,,8.87
2013,Kalimantan Utara,93.41,70.33,58.42,,,,,8.1
2013,Kepulauan Bangka Belitung,95.72,63.83,50.8,,,,,7.32
2013,Kepulauan Riau,97.64,83.31,67.62,,,,,9.63
2013,Lampung,97.41,74.96,53.48,,,,,7.32
2013,Maluku,92.25,67.06,55.59,,,,,8.81
2013,Maluku Utara,95.47,70.73,59.54,,,,,8.27
2013,Nusa Tenggara Barat,96.71,80.21,58.0,,,,,6.54
2013,Nusa Tenggara Timur,93.53,59.32,47.3,,,,,6.76
2013,Papua,72.57,45.76,36.73,,,,,5.74
2013,Papua Barat,89.71,60.9,53.8,,,,,6.91
2013,Papua Barat Daya,90.57,63.97,44.0,,,,,7.03
2013,Papua Pegunungan,71.21,45.0,25.16,,,,,2.85
2013,Papua Selatan,84.0,46.56,30.77,,,,,7.02
2013,Papua Tengah,68.91,43.17,20.88,,,,,4.76
2013,Riau,95.33,74.23,58.74,,,,,8.38
2013,Sulawesi Barat,93.52,62.0,52.22,,,,,6.87
2013,Sulawesi Selatan,95.67,69.79,54.26,,,,,7.45
2013,Sulawesi Tengah,90.27,63.72,58.38,,,,,7.82
2013,Sulawesi Tenggara,95.15,69.68,55.5,,,,,7.93
2013,Sulawesi Utara,91.61,64.55,57.26,,,,,8.79
2013,Sumatera Barat,97.1,72.56,61.0,,,,,8.28
2013,Sumatera Selatan,95.12,72.06,51.67,,,,,7.53
2013,Sumatera Utara,95.64,73.98,62.19,,,,,8.79
2014,Aceh,97.8,85.2,69.2,,,,,8.71
2014,Bali,95.29,84.58,70.83,,,,,8.11
2014,Banten,96.69,79.56,56.87,,,,,8.19
2014,Bengkulu,98.03,76.44,64.61,,,,,8.28
2014,Daerah Istimewa Yogyakarta,98.98,82.2,68.46,,,,,8.84
2014,Daerah Khusus Jakarta,96.84,79.61,58.79,,,,,10.54
2014,Gorontalo,96.74,68.29,56.07,,,,,6.97
2014,Jambi,97.15,77.34,59.22,,,,,7.92
2014,Jawa Barat,97.6,79.3,56.48,,,,,7.71
2014,Jawa Tengah,96.45,78.57,58.11,,,,,6.93
2014,Jawa Timur,96.98,80.94,60.0,,,,,7.05
2014,Kalimantan Barat,95.75,64.23,50.06,,,,,6.83
2014,Kalimantan Selatan,97.44,72.4,55.04,,,,,7.6
2014,Kalimantan Tengah,98.13,75.4,51.75,,,,,7.82
2014,Kalimantan Timur,96.81,78.96,67.41,,,,,9.04
2014,Kalimantan Utara,93.71,71.26,59.65,,,,,8.35
2014,Kepulauan Bangka Belitung,96.49,71.83,56.93,,,,,7.35
2014,Kepulauan Riau,98.22,83.36,70.52,,,,,9.64
2014,Lampung,97.98,77.98,57.64,,,,,7.48
2014,Maluku,93.74,73.1,62.6,,,,,9.15
2014,Maluku Utara,96.21,75.03,63.1,,,,,8.34
2014,Nusa Tenggara Barat,97.62,82.29,64.11,,,,,6.67
2014,Nusa Tenggara Timur,94.56,65.86,52.15,,,,,6.85
2014,Papua,78.36,53.68,43.11,,,,,5.76
2014,Papua Barat,92.76,68.18,62.29,,,,,6.96
2014,Papua Barat Daya,90.87,64.9,45.23,,,,,7.15
2014,Papua Pegunungan,71.51,45.93,26.39,,,,,2.97
2014,Papua Selatan,84.3,47.49,32.0,,,,,7.14
2014,Papua Tengah,69.21,44.1,22.11,,,,,4.88
2014,Riau,96.42,77.67,62.31,,,,,8.47
2014,Sulawesi Barat,94.97,68.37,56.65,,,,,6.88
2014,Sulawesi Selatan,96.39,73.18,59.1,,,,,7.49
2014,Sulawesi Tengah,91.77,70.62,63.13,,,,,7.89
2014,Sulawesi Tenggara,95.97,74.77,61.91,,,,,8.02
2014,Sulawesi Utara,93.42,72.32,61.69,,,,,8.86
