Provinsi/Kabupaten/Kota/Indonesia,,,,,,,,,,
,,,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Bangka Tengah,12248,12330,12836,13070,12909,12945,13422,13643,13677,13768
Bangka Selatan,10932,10999,11573,11910,11757,11768,12341,12627,12718,12920
Belitung Timur,10729,10894,11302,11831,11730,11760,12357,12536,12610,12694
Kota Pangkal Pinang,14807,14923,15560,15883,15663,15716,16307,16734,16750,16856
KEPULAUAN RIAU,13359,13566,13976,14466,14209,14122,14469,14998,15573,15881
Karimun,11468,11713,11945,12136,11885,11879,12304,12756,13287,13649
Bintan,13667,13828,14256,14730,14482,14393,14739,14882,15078,15303
Natuna,13834,13970,14217,14821,14705,14711,14834,15409,15560,15683
Lingga,11280,11421,11499,12091,11998,11938,12134,12485,12906,13108
Kepulauan Anambas,11320,11654,11894,12065,11875,11950,12137,12495,12983,13141
Kota Batam,16889,17131,17560,18146,18095,18034,18506,18990,19668,19944
Kota Tanjung Pinang,14645,14881,15292,15838,15498,15439,15864,16213,16663,16838
DKI JAKARTA,17468,17707,18128,18527,18227,18520,18927,19373,19953,20676
Kep. Seribu,11608,11833,12264,12623,12412,12587,12999,13523,14110,14691
Kota Jakarta Selatan,22932,23098,23363,23851,23575,23888,24221,24975,25573,26387
Kota Jakarta Timur,16733,17007,17339,17662,17438,17733,18199,18712,19193,19824
Kota Jakarta Pusat,16493,16719,16994,17285,17179,17365,17765,18202,18661,19309
Kota Jakarta Barat,19501,19695,20298,20875,20468,20801,21357,21709,22119,22831
Kota Jakarta Utara,17418,17763,18121,18566,18437,18762,19201,19617,20032,20584
JAWA BARAT,10035,10285,10790,11152,10845,10934,11277,11695,12157,12447
Bogor,9537,9901,10323,10683,10317,10410,10860,11153,11563,11933
Sukabumi,8077,8263,8618,8973,8823,8850,9210,9482,9815,10244
Cianjur,7074,7300,7874,8290,7980,8052,8244,8626,9026,9173
Bandung,9580,9854,10203,10502,10201,10307,10588,11018,11392,11619
Garut,7079,7270,7597,8099,7876,7961,8227,8685,9168,9479
Tasikmalaya,7081,7250,7761,8092,7852,7829,8177,8562,8965,9258
Ciamis,8432,8658,9190,9557,9288,9259,9428,9750,10085,10406
Kuningan,8580,8736,9297,9673,9459,9409,9620,10011,10418,10707
Cirebon,9463,9650,10212,10670,10342,10368,10791,11128,11529,11769
Majalengka,8594,8833,9416,9822,9521,9591,9950,10340,10842,11094
Sumedang,9339,9569,10153,10406,10217,10262,10776,11136,11589,11963
Indramayu,8866,9014,9633,10090,9859,9810,10166,10580,11010,11316
Subang,10012,10206,10715,11012,10790,10854,11294,11537,11894,12144
Purwakarta,10732,10941,11372,11819,11614,11669,12193,12619,13099,13400
Karawang,10379,10703,11277,11856,11315,11522,11927,12392,12942,13251
Bekasi,10435,10790,11155,11610,11241,11341,11757,12123,12500,13004
Bandung Barat,7698,8002,8329,8684,8455,8546,9044,9392,9583,9862
Pangandaran,8312,8588,8968,9423,9084,9065,9389,9406,9654,9995
Kota Bogor,10662,10940,11348,11825,11564,11716,12058,12656,13154,13571
