Tahun,Provinsi,PPK,RLS
2024,Kalimantan Selatan,13399.0,8.62
2024,Kalimantan Tengah,12303.0,8.81
2024,Kalimantan Timur,13793.0,10.02
2024,Kalimantan Utara,10197.0,9.35
2024,Kepulauan Bangka Belitung,13667.0,8.33
2024,Kepulauan Riau,15573.0,10.5
2024,Lampung,11258.0,8.36
2024,Maluku,9684.0,10.26
2024,Maluku Utara,9320.0,9.37
2024,Nusa Tenggara Barat,11606.0,7.87
2024,Nusa Tenggara Timur,8534.0,8.02
2024,Papua,11037.0,9.82
2024,Papua Barat,8805.0,7.86
2024,Papua Barat Daya,8733.0,8.39
2024,Papua Pegunungan,5707.0,4.21
2024,Papua Selatan,9756.0,8.38
2024,Papua Tengah,7809.0,6.12
2024,Riau,11857.0,9.43
2024,Sulawesi Barat,10208.0,8.15
2024,Sulawesi Selatan,12275.0,8.86
2024,Sulawesi Tengah,10536.0,9.04
2024,Sulawesi Tenggara,10606.0,9.42
2024,Sulawesi Utara,11998.0,9.84
2024,Sumatera Barat,11718.0,9.44
2024,Sumatera Selatan,12015.0,8.57
2024,Sumatera Utara,11460.0,9.93
