Tahun,Provinsi,APM_SD,APM_SMP,APM_SMA,RLS
2018,Riau,97.26,79.12,63.47,8.92
2018,Sulawesi Barat,95.83,69.43,57.58,7.5
2018,Sulawesi Selatan,98.03,75.13,60.03,8.02
2018,Sulawesi Tengah,92.82,73.2,64.25,8.52
2018,Sulawesi Tenggara,97.51,76.64,62.87,8.69
2018,Sulawesi Utara,94.93,74.18,62.83,9.24
2018,Sumatera Barat,98.66,77.08,67.48,8.76
2018,Sumatera Selatan,97.85,76.91,59.87,8.0
2018,Sumatera Utara,97.63,79.25,67.27,9.34
2019,Aceh,99.12,86.48,70.35,9.18
2019,Bali,96.81,86.75,73.01,8.84
2019,Banten,97.98,81.93,58.8,8.74
2019,Bengkulu,98.66,78.81,65.51,8.73
2019,Daerah Istimewa Yogyakarta,99.53,84.04,70.49,9.38
2019,Daerah Khusus Jakarta,98.12,81.68,60.24,11.06
2019,Gorontalo,98.41,70.28,57.52,7.69
2019,Jambi,99.07,79.48,60.92,8.45
2019,Jawa Barat,98.27,81.26,57.53,8.37
2019,Jawa Tengah,97.77,79.84,59.35,7.53
2019,Jawa Timur,98.01,82.84,61.77,7.59
2019,Kalimantan Barat,97.09,66.67,51.21,7.31
2019,Kalimantan Selatan,98.81,74.84,57.82,8.2
2019,Kalimantan Tengah,99.14,77.71,53.82,8.51
2019,Kalimantan Timur,98.41,80.42,68.55,9.7
2019,Kalimantan Utara,93.15,78.42,64.39,8.94
2019,Kepulauan Bangka Belitung,97.73,74.13,58.41,7.98
2019,Kepulauan Riau,99.13,85.54,72.97,9.99
2019,Lampung,99.24,80.4,59.41,7.92
2019,Maluku,96.21,74.68,64.23,9.81
2019,Maluku Utara,97.09,76.2,63.95,9.0
2019,Nusa Tenggara Barat,98.87,83.92,66.04,7.27
2019,Nusa Tenggara Timur,96.16,69.19,53.68,7.55
2019,Papua,79.19,57.19,44.32,6.65
2019,Papua Barat,93.76,69.92,63.15,7.44
2019,Papua Barat Daya,92.39,69.55,51.35,7.77
2019,Papua Pegunungan,73.03,50.58,32.51,3.59
2019,Papua Selatan,85.82,52.14,38.12,7.76
2019,Papua Tengah,70.73,48.75,28.23,5.5
2019,Riau,97.32,79.94,63.55,9.03
2019,Sulawesi Barat,95.86,69.36,57.64,7.73
2019,Sulawesi Selatan,98.06,75.82,60.14,8.26
2019,Sulawesi Tengah,93.17,73.82,64.66,8.75
2019,Sulawesi Tenggara,97.53,76.95,62.92,8.91
2019,Sulawesi Utara,94.97,74.3,62.98,9.43
2019,Sumatera Barat,98.67,78.1,68.53,8.92
