Tahun,Provinsi,APM_SD,APM_SMP,APM_SMA,PPK,RLS
2020,Papua Tengah,71.03,49.68,29.46,6875.0,5.63
2020,Riau,97.73,80.48,64.01,10675.0,9.14
2020,Sulawesi Barat,95.8,69.98,58.05,9168.0,7.89
2020,Sulawesi Selatan,97.98,76.17,60.32,11079.0,8.38
2020,Sulawesi Tengah,93.24,74.42,65.02,9335.0,8.83
2020,Sulawesi Tenggara,97.7,77.64,63.41,9331.0,9.04
2020,Sulawesi Utara,95.13,74.82,63.43,10791.0,9.49
2020,Sumatera Barat,98.8,78.41,68.9,10733.0,8.99
2020,Sumatera Selatan,97.91,77.97,60.45,10652.0,8.24
2020,Sumatera Utara,97.73,80.56,68.0,10420.0,9.54
2021,Aceh,98.95,86.95,70.8,9572.0,9.37
2021,Bali,97.2,87.11,74.82,13820.0,9.06
2021,Banten,98.15,84.28,59.69,12033.0,8.93
2021,Bengkulu,98.61,80.25,66.08,10487.0,8.87
2021,Daerah Istimewa Yogyakarta,99.44,83.62,71.42,14111.0,9.64
2021,Daerah Khusus Jakarta,98.22,83.01,60.53,18520.0,11.17
2021,Gorontalo,98.65,71.15,58.21,10157.0,7.9
2021,Jambi,99.41,79.88,61.56,10588.0,8.6
2021,Jawa Barat,98.37,82.88,58.58,10934.0,8.61
2021,Jawa Tengah,98.22,80.99,60.46,11034.0,7.75
2021,Jawa Timur,97.9,83.8,62.63,11707.0,7.88
2021,Kalimantan Barat,97.42,68.11,51.77,8974.0,7.45
2021,Kalimantan Selatan,98.94,75.88,58.37,12143.0,8.34
2021,Kalimantan Tengah,99.01,78.8,54.25,11182.0,8.64
2021,Kalimantan Timur,98.36,81.3,69.29,12116.0,9.84
2021,Kalimantan Utara,93.38,79.21,65.37,9075.0,9.11
2021,Kepulauan Bangka Belitung,97.89,74.6,58.79,12819.0,8.08
2021,Kepulauan Riau,99.26,86.6,73.36,14122.0,10.18
2021,Lampung,99.1,82.03,60.31,10038.0,8.08
2021,Maluku,96.92,75.53,64.71,8770.0,10.03
2021,Maluku Utara,97.2,77.03,64.11,8140.0,9.09
2021,Nusa Tenggara Barat,98.81,85.28,67.09,10377.0,7.38
2021,Nusa Tenggara Timur,96.04,69.99,54.29,7554.0,7.69
2021,Papua,80.38,57.93,44.41,6955.0,6.76
2021,Papua Barat,94.09,70.52,63.51,7929.0,7.69
2021,Papua Barat Daya,93.0,71.41,53.81,8147.0,8.02
2021,Papua Pegunungan,73.64,52.44,34.97,4932.0,3.84
2021,Papua Selatan,86.43,54.0,40.58,9054.0,8.01
2021,Papua Tengah,71.34,50.61,30.69,7107.0,5.75
2021,Riau,97.85,80.52,64.0,10736.0,9.19
2021,Sulawesi Barat,95.68,70.03,59.77,9153.0,7.96
2021,Sulawesi Selatan,98.26,77.02,60.35,11184.0,8.46
2021,Sulawesi Tengah,93.33,74.99,65.44,9378.0,8.89
2021,Sulawesi Tenggara,98.15,77.86,63.7,9381.0,9.13
2021,Sulawesi Utara,95.39,74.94,63.33,10882.0,9.62
